GEN1,GEN2
MTND4P10,AC004112.7
MTND4P10,OR10K1
MTND4P10,OR11A1
MTND4P10,RP5-991O23.1
MTND4P10,RP11-36D19.9
MTND4P10,CTD-2313J23.1
MTND4P10,RP11-63H19.2
MTND4P10,AC005235.1
MTND4P10,MIR124-2HG
MTND4P10,CPLX4
MTND4P10,CTA-342B11.3
MTND4P10,MUC12
MTND4P10,CTD-3145H4.1
MTND4P10,RP11-81M19.1
MTND4P10,RP11-113E21.2
MTND4P10,RP11-25D10.2
MTND4P10,LINC00343
MTND4P10,MUC22
MTND4P10,RP11-946L20.1
MTND4P10,MAS1
MTND4P10,MTND1P15
MTND4P10,MAPK6PS4
MTND4P10,CTA-929C8.9
MTND4P10,RP11-717H13.1
MTND4P10,GPR123-AS1
MTND4P10,RP11-87G24.2
MTND4P10,RP1-101G11.3
MTND4P10,CHIA
MTND4P10,LINC00841
MTND4P10,HPVC1
MTND4P10,RP11-560A7.1
MTND4P10,RP11-139I14.2
MTND4P10,PROL1
MTND4P10,RP11-238K6.1
MTND4P10,CTA-992D9.8
MTND4P10,AP005901.1
MTND4P10,RP11-691G17.1
MTND4P10,MTND5P7
MTND4P10,RP5-921G16.1
MTND4P10,MTND5P8
MTND4P10,RP1-274L7.4
MTND4P10,CTAGE14P
MTND4P10,XIRP2
MTND4P10,AC073869.7
MTND4P10,AC079248.1
MTND4P10,RP11-233E12.2
MTND4P10,HOTTIP
MTND4P10,RP11-1437A8.4
MTND4P10,SPATA31A7
MTND4P10,RP11-593P24.2
MTND4P10,LINC01206
MTND4P10,RP11-538C21.2
MTND4P10,RP11-5A1.1
MTND4P10,GJD2
MTND4P10,TRIM64B
MTND4P10,AC011518.1
MTND4P10,KCNG4
MTND4P10,RP11-46E17.8
MTND4P10,RP11-434D2.3
MTND4P10,GABRA6
MTND4P10,CTA-212A2.3
MTND4P10,HTN1
MTND4P10,OTX2-AS1
MTND4P10,AC114776.3
MTND4P10,NEUROD6
MTND4P10,KNCN
MTND4P10,C2orf91
MTND4P10,MTND2P9
MTND4P10,RP11-846F4.6
MTND4P10,MTND5P18
MTND4P10,AC079466.1
MTND4P10,BPIFA3
MTND4P10,LINC01109
MTND4P10,RP11-113I24.1
MTND4P10,AL022344.5
MTND4P10,MTND2P8
MTND4P10,GABRR3
MTND4P10,RP11-753D20.4
MTND4P10,LINC00906
MTND4P10,RP11-300M24.1
MTND4P10,KB-1568E2.1
MTND4P10,MTND2P20
MTND4P10,ANKRD20A19P
MTND4P10,MUC7
MTND4P10,RP1-153P14.7
MTND4P10,POTEH-AS1
MTND4P10,GFY
MTND4P10,OR2L6P
MTND4P10,RP11-301G19.1
MTND4P10,KPRP
